party,strongest,strongest_%,weakest,weakest_%,most_gaining_4w,gaining_4w_pp,most_losing_4w,losing_4w_pp,most_gaining_12w,gaining_12w_pp,most_losing_12w,losing_12w_pp,most_gaining_52w,gaining_52w_pp,most_losing_52w,losing_52w_pp
Con,Leave,25.0,Remain,18.0,Remain,1.0,Leave,-4.0,Remain,4.0,Leave,0.0,Remain,3.0,Leave,1.0
Lab,Remain,37.0,Leave,9.0,Remain,3.0,Leave,-2.0,Remain,8.0,Leave,2.0,Remain,5.0,Leave,3.0
Lib Dem,Remain,18.0,Leave,8.0,Leave,4.0,Remain,0.0,Leave,2.0,Remain,-2.0,Leave,0.0,Remain,-2.0
Reform UK,Leave,44.0,Remain,5.0,Remain,0.0,Leave,-1.0,Remain,-2.0,Leave,-7.0,Remain,-3.0,Leave,-10.0
Green,Remain,14.0,Leave,6.0,Leave,3.0,Remain,-2.0,Leave,2.0,Remain,-6.0,Leave,2.0,Remain,0.0
SNP,Remain,4.0,Leave,1.0,Leave,0.0,Leave,0.0,Leave,0.0,Remain,-1.0,Leave,-1.0,Remain,-1.0
Plaid Cymru,Remain,2.0,Leave,1.0,Leave,1.0,Remain,0.0,Leave,0.0,Leave,0.0,Leave,0.0,Leave,0.0
Other,Leave,7.0,Remain,3.0,Leave,-1.0,Remain,-2.0,Leave,2.0,Remain,0.0,Leave,4.0,Remain,-2.0
