party,strongest,strongest_%,weakest,weakest_%,most_gaining_4w,gaining_4w_pp,most_losing_4w,losing_4w_pp,most_gaining_12w,gaining_12w_pp,most_losing_12w,losing_12w_pp,most_gaining_52w,gaining_52w_pp,most_losing_52w,losing_52w_pp
Con,Female,20.0,Male,19.0,Male,0.0,Female,-3.0,Male,3.0,Female,-1.0,Male,3.0,Female,1.0
Lab,Female,23.0,Male,22.0,Female,1.0,Male,-1.0,Female,6.0,Male,3.0,Female,3.0,Male,-1.0
Lib Dem,Female,14.0,Male,12.0,Female,2.0,Male,2.0,Male,2.0,Female,-2.0,Male,0.0,Female,-3.0
Reform UK,Male,27.0,Female,19.0,Male,1.0,Female,0.0,Female,-3.0,Male,-5.0,Female,-5.0,Female,-5.0
Green,Female,15.0,Male,11.0,Female,0.0,Female,0.0,Female,-1.0,Male,-4.0,Female,3.0,Female,3.0
SNP,Female,3.0,Female,3.0,Female,1.0,Male,0.0,Female,0.0,Female,0.0,Female,0.0,Female,0.0
Plaid Cymru,Male,2.0,Female,1.0,Female,0.0,Female,0.0,Male,1.0,Female,-1.0,Male,1.0,Female,0.0
Other,Female,5.0,Female,5.0,Female,-1.0,Female,-1.0,Female,1.0,Female,1.0,Female,1.0,Male,0.0
