party,strongest,strongest_%,weakest,weakest_%,most_gaining_4w,gaining_4w_pp,most_losing_4w,losing_4w_pp,most_gaining_12w,gaining_12w_pp,most_losing_12w,losing_12w_pp,most_gaining_52w,gaining_52w_pp,most_losing_52w,losing_52w_pp
Con,Midlands,24.0,Scotland,7.0,Midlands,0.0,Wales,-4.0,Rest of South,4.0,Scotland,-6.0,Rest of South,4.0,Scotland,-3.0
Lab,London,31.0,Rest of South,15.0,London,3.0,North,-1.0,Wales,10.0,Rest of South,1.0,North,5.0,London,-4.0
Lib Dem,Rest of South,21.0,Wales,5.0,London,6.0,Scotland,-5.0,London,3.0,Scotland,-5.0,Rest of South,0.0,Scotland,-4.0
Reform UK,Wales,28.0,London,14.0,Scotland,6.0,Midlands,-4.0,London,2.0,North,-9.0,London,3.0,Midlands,-10.0
Green,London,17.0,Wales,7.0,Wales,3.0,London,-5.0,Rest of South,0.0,London,-10.0,Scotland,8.0,Wales,-5.0
SNP,Scotland,29.0,London,0.0,Scotland,1.0,London,0.0,London,0.0,London,0.0,London,0.0,Scotland,-9.0
Plaid Cymru,Wales,30.0,London,0.0,Wales,5.0,London,0.0,Wales,2.0,London,0.0,Wales,5.0,London,0.0
Other,North,6.0,Wales,2.0,Scotland,1.0,Wales,-8.0,London,3.0,Wales,-3.0,Scotland,3.0,London,-3.0
