party,strongest,strongest_%,weakest,weakest_%,most_gaining_4w,gaining_4w_pp,most_losing_4w,losing_4w_pp,most_gaining_12w,gaining_12w_pp,most_losing_12w,losing_12w_pp,most_gaining_52w,gaining_52w_pp,most_losing_52w,losing_52w_pp
Con,Conservative,63.0,Labour,6.0,Labour,2.0,Liberal Democrat,-5.0,Conservative,7.0,Labour,0.0,Liberal Democrat,5.0,Conservative,-1.0
Lab,Labour,57.0,Reform UK,2.0,Liberal Democrat,1.0,Labour,-3.0,Labour,6.0,Conservative,1.0,Liberal Democrat,8.0,Labour,-2.0
Lib Dem,Liberal Democrat,64.0,Reform UK,2.0,Liberal Democrat,9.0,Reform UK,0.0,Liberal Democrat,1.0,Conservative,-1.0,Reform UK,1.0,Liberal Democrat,-9.0
Reform UK,Reform UK,76.0,Liberal Democrat,5.0,Conservative,2.0,Liberal Democrat,-2.0,Labour,0.0,Conservative,-9.0,Labour,-1.0,Reform UK,-13.0
Green,Labour,15.0,Reform UK,0.0,Liberal Democrat,2.0,Reform UK,-1.0,Conservative,1.0,Labour,-4.0,Labour,6.0,Reform UK,0.0
SNP,Labour,1.0,Conservative,0.0,Labour,0.0,Conservative,-1.0,Conservative,0.0,Conservative,0.0,Conservative,0.0,Liberal Democrat,-1.0
Plaid Cymru,Conservative,1.0,Liberal Democrat,0.0,Conservative,1.0,Liberal Democrat,-1.0,Conservative,1.0,Labour,0.0,Conservative,1.0,Liberal Democrat,-1.0
Other,Reform UK,13.0,Labour,1.0,Reform UK,3.0,Conservative,-3.0,Reform UK,1.0,Labour,-1.0,Reform UK,10.0,Labour,-3.0
