party,strongest_group,strongest_%,weakest_group,weakest_%,most_gaining_group_4w,gaining_4w_pp,most_losing_group_4w,losing_4w_pp,most_gaining_group_12w,gaining_12w_pp,most_losing_group_12w,losing_12w_pp,most_gaining_group_52w,gaining_52w_pp,most_losing_group_52w,losing_52w_pp
Con,Past Vote: Conservative,63.0,Age: 18-24,5.0,Past Vote: Labour,2.0,Past Vote: Liberal Democrat,-5.0,Past Vote: Conservative,7.0,Region: Scotland,-6.0,Past Vote: Liberal Democrat,5.0,Age: 18-24,-4.0
Lab,Past Vote: Labour,57.0,Past Vote: Reform UK,2.0,EU Ref Vote: Remain,3.0,Past Vote: Labour,-3.0,Region: Wales,10.0,Region: Rest of South,1.0,Past Vote: Liberal Democrat,8.0,Age: 18-24,-13.0
Lib Dem,Past Vote: Liberal Democrat,64.0,Past Vote: Reform UK,2.0,Past Vote: Liberal Democrat,9.0,Region: Scotland,-5.0,Region: London,3.0,Region: Scotland,-5.0,Age: 25-49,2.0,Past Vote: Liberal Democrat,-9.0
Reform UK,Past Vote: Reform UK,76.0,Age: 18-24,4.0,Region: Scotland,6.0,Age: 25-49,-5.0,Region: London,2.0,Age: 65+,-10.0,Region: London,3.0,Past Vote: Reform UK,-13.0
Green,Age: 18-24,41.0,Past Vote: Reform UK,0.0,Age: 25-49,4.0,Region: London,-5.0,EU Ref Vote: Leave,2.0,Region: London,-10.0,Age: 18-24,27.0,Region: Wales,-5.0
SNP,Region: Scotland,29.0,Past Vote: Conservative,0.0,Age: 18-24,2.0,Past Vote: Conservative,-1.0,Age: 18-24,1.0,EU Ref Vote: Remain,-1.0,Age: 18-24,0.0,Region: Scotland,-9.0
Plaid Cymru,Region: Wales,30.0,Past Vote: Liberal Democrat,0.0,Region: Wales,5.0,Past Vote: Liberal Democrat,-1.0,Age: 18-24,2.0,Gender: Female,-1.0,Region: Wales,5.0,Past Vote: Liberal Democrat,-1.0
Other,Past Vote: Reform UK,13.0,Age: 18-24,1.0,Past Vote: Reform UK,3.0,Region: Wales,-8.0,Region: London,3.0,Region: Wales,-3.0,Past Vote: Reform UK,10.0,Age: 18-24,-6.0
